City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tilichiki,60.4667,166.1,241.17,94,16,4.06,RU,1675707648
84,yellowknife,62.456,-114.3525,246.44,76,20,2.06,CA,1675707284
85,mae sai,20.4335,99.8762,291.29,44,0,1.17,TH,1675707649
86,hobart,-42.8794,147.3294,285.4,81,40,1.03,AU,1675707555
87,te anau,-45.4167,167.7167,286.24,89,100,3.5,NZ,1675707596
88,mataura,-46.1927,168.8643,288.37,57,12,3.77,NZ,1675707255
89,castro,-24.7911,-50.0119,299.7,47,53,1.64,BR,1675707251
90,sao filipe,14.8961,-24.4956,294.27,60,41,7.46,CV,1675707642
91,kamina,-8.7386,24.9906,291.26,90,54,2.46,CD,1675707649
92,high level,58.5169,-117.136,254.21,84,75,1.03,CA,1675707649
93,tautira,-17.7333,-149.15,299.89,77,31,6.94,PF,1675707650
94,launceston,-41.45,147.1667,284.9,80,0,3.6,AU,1675707298
95,qena,26.1615,32.7183,287.3,31,63,4.64,EG,1675707650
96,yekaterinovka,52.0508,44.3451,257.62,96,45,2.63,RU,1675707567
97,bengkulu,-3.8004,102.2655,297.33,86,96,2.78,ID,1675707607
98,lompoc,34.6391,-120.4579,288.03,63,0,2.68,US,1675707063
99,punta arenas,-53.15,-70.9167,291.21,45,75,14.92,CL,1675707240
100,mana,5.6592,-53.7767,299.64,79,47,5.06,GF,1675707650
101,molochnoye,59.2917,39.6787,257.23,100,86,1.94,RU,1675707651
102,sistranda,63.7256,8.834,280.13,81,100,12.15,NO,1675707651
103,manzanillo,20.3433,-77.1167,304.03,44,0,3.21,CU,1675707391
104,avarua,-21.2078,-159.775,300.18,89,40,5.14,CK,1675707319
105,itarema,-2.9248,-39.9167,301.34,69,90,5.25,BR,1675707652
106,praia da vitoria,38.7333,-27.0667,287.29,82,75,12.34,PT,1675707652
107,longyearbyen,78.2186,15.6401,273.06,86,100,9.26,SJ,1675707321
108,norman wells,65.282,-126.8329,244.17,76,75,1.54,CA,1675707395
109,airai,-8.9266,125.4092,288.84,94,100,0.56,TL,1675707378
110,shahr-e babak,30.1165,55.1186,282.43,38,52,3.87,IR,1675707652
111,hermanus,-34.4187,19.2345,296.37,82,42,6.3,ZA,1675707281
112,pierre,44.3683,-100.351,280.66,70,0,8.75,US,1675707421
113,hilo,19.7297,-155.09,296.08,99,100,3.09,US,1675707205
114,batemans bay,-35.7167,150.1833,293.2,92,100,1.3,AU,1675707653
115,arman,59.7,150.1667,244.63,83,76,3.9,RU,1675707653
116,cabedelo,-6.9811,-34.8339,300.52,70,71,7.24,BR,1675707658
117,ahuimanu,21.4447,-157.8378,298.01,81,75,5.14,US,1675707659
118,alice springs,-23.7,133.8833,291.9,68,75,2.57,AU,1675707419
119,faya,18.3851,42.4509,288.21,65,46,2.14,SA,1675707659
120,kushmurun,52.4503,64.6311,255.31,99,86,2.01,KZ,1675707452
121,kilosa,-6.8333,36.9833,295.85,85,97,1.48,TZ,1675707660
122,rio gallegos,-51.6226,-69.2181,295.18,43,75,8.75,AR,1675707323
123,ornskoldsvik,63.2909,18.7153,273.68,86,0,2.06,SE,1675707660
124,katsuura,35.1333,140.3,284.0,60,100,1.1,JP,1675707596
125,contamana,-7.3333,-75.0167,303.27,56,100,1.88,PE,1675707660
126,canyon,34.9803,-101.9188,292.62,12,8,9.81,US,1675707661
127,hirtshals,57.5881,9.9592,277.62,85,26,6.73,DK,1675707610
128,esperance,-33.8667,121.9,296.03,54,51,2.19,AU,1675707661
